id,section,category,english,hiragana,romaji,kanji,notes,politeness,tags,created_at
jp-132,Business,SaaS / Product,The main question is whether users actually need this.,いちばんたいせつなしつもんは、ユーザーがほんとうにこれをひつようとしているかです。,"Ichiban taisetsu na shitsumon wa, yuuzaa ga hontou ni kore o hitsuyou to shiteiru ka desu.",一番大切な質問は、ユーザーが本当にこれを必要としているかです。,Product validation sentence.,Polite,product; validation,2026-06-23
jp-133,Business,SaaS / Product,A landing page helps us see if people are interested before the full product is ready.,ランディングページは、プロダクトがかんせいするまえに、ひとびとがきょうみをもつかをみるためにやくにたちます。,"Randingu peeji wa, purodakuto ga kansei suru mae ni, hitobito ga kyoumi o motsu ka o miru tame ni yaku ni tachimasu.",ランディングページは、プロダクトが完成する前に、人々が興味を持つかを見るために役に立ちます。,Landing page explanation.,Polite,landing page; validation,2026-06-23
jp-134,Business,SaaS / Product,We measure interest by waitlist signups.,ウェイトリストのとうろくで、きょうみのつよさをはかります。,"Weito risuto no touroku de, kyoumi no tsuyosa o hakarimasu.",ウェイトリストの登録で、興味の強さを測ります。,Conversion measurement.,Polite,waitlist; metrics,2026-06-23
jp-135,Business,SaaS / Product,The first version does not need every feature.,さいしょのバージョンには、すべてのきのうはひつようありません。,"Saisho no baajon ni wa, subete no kinou wa hitsuyou arimasen.",最初のバージョンには、すべての機能は必要ありません。,MVP mindset.,Polite,mvp,2026-06-23
jp-136,Business,SaaS / Product,We need to build the simplest useful version first.,まずは、いちばんシンプルでやくにたつバージョンをつくるひつようがあります。,"Mazu wa, ichiban shinpuru de yaku ni tatsu baajon o tsukuru hitsuyou ga arimasu.",まずは、一番シンプルで役に立つバージョンを作る必要があります。,MVP sentence.,Polite,mvp,2026-06-23
jp-137,Business,SaaS / Product,Good design makes the product easier to understand.,いいデザインは、プロダクトをもっとわかりやすくします。,"Ii dezain wa, purodakuto o motto wakariyasuku shimasu.",良いデザインは、プロダクトをもっと分かりやすくします。,Design line.,Polite,design,2026-06-23
jp-138,Business,SaaS / Product,"If people understand the value quickly, they are more likely to sign up.",ひとびとがすぐにかちをりかいできれば、とうろくしやすくなります。,"Hitobito ga sugu ni kachi o rikai dekireba, touroku shiyasuku narimasu.",人々がすぐに価値を理解できれば、登録しやすくなります。,Conversion principle.,Polite,conversion,2026-06-23
jp-139,Business,Business Conversation,What kind of work do you do?,どんなおしごとをしていますか？,Donna oshigoto o shiteimasu ka?,どんなお仕事をしていますか？,Polite question.,Polite,conversation,2026-06-23
jp-140,Business,Business Conversation,What industry are you in?,どのぎょうかいでしごとをしていますか？,Dono gyoukai de shigoto o shiteimasu ka?,どの業界で仕事をしていますか？,Business question.,Polite,conversation,2026-06-23
jp-141,Business,Business Conversation,Are you interested in startups?,スタートアップにきょうみがありますか？,Sutaatoappu ni kyoumi ga arimasu ka?,スタートアップに興味がありますか？,Useful networking question.,Polite,conversation; startup,2026-06-23
jp-142,Business,Business Conversation,Have you used AI tools before?,AIツールをつかったことがありますか？,AI tsuuru o tsukatta koto ga arimasu ka?,AIツールを使ったことがありますか？,Good tech conversation starter.,Polite,conversation; ai,2026-06-23
jp-143,Business,Business Conversation,What tools do you use for work?,しごとではどんなツールをつかっていますか？,Shigoto dewa donna tsuuru o tsukatteimasu ka?,仕事ではどんなツールを使っていますか？,Good for learning pain points.,Polite,conversation; research,2026-06-23
jp-144,Business,Business Conversation,What is the biggest problem in your workflow?,しごとのながれで、いちばんおおきなもんだいはなんですか？,"Shigoto no nagare de, ichiban ookina mondai wa nan desu ka?",仕事の流れで、一番大きな問題は何ですか？,Customer discovery style question.,Polite,research; workflow,2026-06-23
jp-145,Business,Business Conversation,Can I ask you a few questions about your work?,しごとについて、いくつかしつもんしてもいいですか？,"Shigoto ni tsuite, ikutsuka shitsumon shite mo ii desu ka?",仕事について、いくつか質問してもいいですか？,Permission before discovery questions.,Polite,research,2026-06-23
jp-146,Business,Business Conversation,That feedback is very helpful.,そのフィードバックはとてもたすかります。,Sono fiidobakku wa totemo tasukarimasu.,そのフィードバックはとても助かります。,Good response to feedback.,Polite,feedback,2026-06-23
jp-147,Business,Business Conversation,Can I show you a quick demo?,かんたんなデモをみせてもいいですか？,Kantan na demo o misete mo ii desu ka?,簡単なデモを見せてもいいですか？,Useful in meetings.,Polite,demo,2026-06-23
jp-148,Business,Business Conversation,I would like to hear your honest opinion.,しょうじきないけんをききたいです。,Shoujiki na iken o kikitai desu.,正直な意見を聞きたいです。,Feedback prompt.,Polite,feedback,2026-06-23
jp-149,Business,Business Conversation,This is still an early version.,これはまだはやいだんかいのバージョンです。,Kore wa mada hayai dankai no baajon desu.,これはまだ早い段階のバージョンです。,Set expectations.,Polite,mvp,2026-06-23
jp-150,Business,Business Conversation,We are improving it based on user feedback.,ユーザーのフィードバックをもとに、かいぜんしています。,"Yuuzaa no fiidobakku o moto ni, kaizen shiteimasu.",ユーザーのフィードバックを基に、改善しています。,Product iteration line.,Polite,feedback; iteration,2026-06-23
jp-151,Business,Business Conversation,Can we stay in contact?,れんらくをとりつづけてもいいですか？,Renraku o toritsuzukete mo ii desu ka?,連絡を取り続けてもいいですか？,Networking follow-up.,Polite,networking,2026-06-23
jp-152,Business,Business Conversation,Can I send you the link later?,あとでリンクをおくってもいいですか？,Ato de rinku o okutte mo ii desu ka?,後でリンクを送ってもいいですか？,Good CTA in person.,Polite,follow up,2026-06-23
jp-153,Business,Business Conversation,Thank you for your time.,おじかんありがとうございます。,Ojikan arigatou gozaimasu.,お時間ありがとうございます。,Polite meeting close.,Polite,meeting,2026-06-23
